,Customer,Agent,SalesAgentEmailID,ContactEmailID,Stage,Product,Close_Value,Created Date,Close Date
78,Genco Pura Olive Oil Company,Darcel Schlecht,darcel@piedpiper.com,karole@gencopuraoliveoilcompany.com,Won,GTX Plus Basic,1161,2016-04-02 00:00:00,2016-08-21 00:00:00
79,Fasehatice,Vicki Laflamme,vicki@piedpiper.com,hsiu@fasehatice.com,Won,GTXPro,4906,2016-04-02 00:00:00,2016-09-15 00:00:00
80,Yearin,Corliss Cosme,corliss@piedpiper.com,vella@yearin.com,In Progress,GTX Plus Pro,,2016-04-02 00:00:00,2016-06-10 00:00:00
81,Betasoloin,Corliss Cosme,corliss@piedpiper.com,danilo@betasoloin.com,Won,GTXPro,4570,2016-04-03 00:00:00,2016-09-04 00:00:00
82,Codehow,Lajuana Vencill,lajuana@piedpiper.com,justine@codehow.com,Won,GTX Basic,609,2016-04-06 00:00:00,2016-09-18 00:00:00
83,Betatech,Darcel Schlecht,darcel@piedpiper.com,genie@betatech.com,Won,GTX Plus Pro,4278,2016-04-06 00:00:00,2016-06-21 00:00:00
84,Stanredtax,Darcel Schlecht,darcel@piedpiper.com,candice@stanredtax.com,Lost,GTX Basic,588,2016-04-09 00:00:00,2016-08-04 00:00:00
85,Gekko & Co,Reed Clapper,reed@piedpiper.com,krystle@gekko&co.com,Lost,GTX Plus Basic,50,2016-04-09 00:00:00,2016-11-20 00:00:00
86,Zumgoity,Lajuana Vencill,lajuana@piedpiper.com,israel@zumgoity.com,Won,GTX Basic,559,2016-04-12 00:00:00,2016-04-14 00:00:00
87,Isdom,Anna Snelling,anna@piedpiper.com,corrinne@isdom.com,Lost,MG Advanced,46,2016-04-12 00:00:00,2016-05-06 00:00:00
88,Bubba Gump,Cassey Cress,cassey@piedpiper.com,margarito@bubbagump.com,Won,GTX Basic,549,2016-04-14 00:00:00,2016-07-12 00:00:00
89,Finhigh,Marty Freudenburg,marty@piedpiper.com,mellie@finhigh.com,Lost,GTX Plus Basic,493,2016-04-14 00:00:00,2016-07-20 00:00:00
90,Sonron,Maureen Marcano,maureen@piedpiper.com,ashlie@sonron.com,Won,GTX Plus Pro,4631,2016-04-15 00:00:00,2016-06-02 00:00:00
91,Xx-zobam,Daniell Hammack,daniell@piedpiper.com,vanessa@xx-zobam.com,Lost,GTXPro,300,2016-04-15 00:00:00,2016-09-30 00:00:00
92,Finhigh,Gladys Colclough,gladys@piedpiper.com,mellie@finhigh.com,Won,MG Advanced,2972,2016-04-15 00:00:00,2016-12-13 00:00:00
93,Blackzim,Elease Gluck,elease@piedpiper.com,riley@blackzim.com,In Progress,GTXPro,5169,2016-04-15 00:00:00,2016-08-10 00:00:00
94,Plexzap,Rosalina Dieter,rosalina@piedpiper.com,titus@plexzap.com,Lost,GTX Basic,493,2016-04-17 00:00:00,2016-09-05 00:00:00
95,Gogozoom,Darcel Schlecht,darcel@piedpiper.com,salina@gogozoom.com,Won,MG Advanced,3563,2016-04-19 00:00:00,2016-05-06 00:00:00
96,Konex,Vicki Laflamme,vicki@piedpiper.com,delila@konex.com,Won,GTX Basic,443,2016-04-20 00:00:00,2016-11-25 00:00:00
97,Dontechi,Darcel Schlecht,darcel@piedpiper.com,kristle@dontechi.com,Lost,GTX Basic,487,2016-04-25 00:00:00,2016-09-26 00:00:00
98,Cancity,Darcel Schlecht,darcel@piedpiper.com,faviola@cancity.com,Won,MG Special,50,2016-04-26 00:00:00,2016-09-23 00:00:00
99,Doncon,Kary Hendrixson,kary@piedpiper.com,jackie@doncon.com,Won,GTX Plus Pro,5425,2016-04-26 00:00:00,2016-12-29 00:00:00
100,Mathtouch,Corliss Cosme,corliss@piedpiper.com,loise@mathtouch.com,Won,GTX Plus Basic,1034,2016-04-27 00:00:00,2016-09-27 00:00:00
101,J-Texon,Daniell Hammack,daniell@piedpiper.com,winston@j-texon.com,In Progress,GTX Plus Basic,1037,2016-05-02 00:00:00,2016-06-09 00:00:00
102,Genco Pura Olive Oil Company,Gladys Colclough,gladys@piedpiper.com,karole@gencopuraoliveoilcompany.com,Lost,GTXPro,1540,2016-05-03 00:00:00,2016-08-14 00:00:00
103,Dalttechnology,Vicki Laflamme,vicki@piedpiper.com,nelia@dalttechnology.com,Won,GTXPro,4899,2016-05-04 00:00:00,2016-10-08 00:00:00
104,J-Texon,Hayden Neloms,hayden@piedpiper.com,winston@j-texon.com,Won,MG Advanced,3426,2016-05-04 00:00:00,2016-09-07 00:00:00
105,Fasehatice,Hayden Neloms,hayden@piedpiper.com,hsiu@fasehatice.com,Won,GTX Plus Basic,,2016-05-04 00:00:00,2016-06-09 00:00:00
106,Scotfind,Kary Hendrixson,kary@piedpiper.com,gordon@scotfind.com,Won,GTX Basic,576,2016-05-07 00:00:00,2016-06-09 00:00:00
107,Treequote,Versie Hillebrand,versie@piedpiper.com,benny@treequote.com,Won,MG Special,49,2016-05-09 00:00:00,2016-12-01 00:00:00
108,Treequote,Niesha Huffines,niesha@piedpiper.com,benny@treequote.com,Won,MG Advanced,,2016-05-09 00:00:00,2016-12-29 00:00:00
109,Cancity,Lajuana Vencill,lajuana@piedpiper.com,faviola@cancity.com,Lost,MG Advanced,537,2016-05-15 00:00:00,2016-09-07 00:00:00
110,Betasoloin,Corliss Cosme,corliss@piedpiper.com,danilo@betasoloin.com,Won,GTX Plus Pro,5964,2016-05-16 00:00:00,2016-11-18 00:00:00
111,Sumace,Violet Mclelland,violet@piedpiper.com,ursula@sumace.com,Lost,MG Special,487,2016-05-17 00:00:00,2016-09-05 00:00:00
112,Domzoom,Niesha Huffines,niesha@piedpiper.com,tanja@domzoom.com,Lost,GTX Basic,487,2016-05-17 00:00:00,2016-10-27 00:00:00
113,Massive Dynamic,Rosie Papadopoulos,rosie@piedpiper.com,gertrude@massivedynamic.com,Won,GTXPro,4829,2016-05-18 00:00:00,2016-07-07 00:00:00
114,Green-Plus,Hayden Neloms,hayden@piedpiper.com,lavone@green-plus.com,Won,GTX Plus Basic,926,2016-05-21 00:00:00,2016-07-28 00:00:00
115,Rangreen,Jonathan Berthelot,jonathan@piedpiper.com,darrel@rangreen.com,Won,MG Special,51,2016-05-25 00:00:00,2016-09-22 00:00:00
116,Rundofase,Moses Frase,moses@piedpiper.com,crista@rundofase.com,Won,GTX Basic,557,2016-05-25 00:00:00,2016-11-14 00:00:00
117,Y-corporation,Vicki Laflamme,vicki@piedpiper.com,rosanne@y-corporation.com,Won,MG Special,46,2016-05-27 00:00:00,2016-10-22 00:00:00
118,Lexiqvolax,Rosalina Dieter,rosalina@piedpiper.com,darryl@lexiqvolax.com,In Progress,MG Advanced,487,2016-05-27 00:00:00,2016-06-25 00:00:00
119,Sunnamplex,Zane Levy,zane@piedpiper.com,maxie@sunnamplex.com,Lost,GTX Plus Basic,1014,2016-05-28 00:00:00,2016-06-23 00:00:00
120,Funholding,Lajuana Vencill,lajuana@piedpiper.com,ying@funholding.com,Won,GTX Plus Basic,948,2016-05-29 00:00:00,2016-10-22 00:00:00
121,Plusstrip,Markita Hansen,markita@piedpiper.com,deanne@plusstrip.com,Won,MG Special,54,2016-05-30 00:00:00,2016-10-12 00:00:00
122,Yearin,Corliss Cosme,corliss@piedpiper.com,vella@yearin.com,Won,MG Advanced,3577,2016-05-30 00:00:00,2016-09-18 00:00:00
123,J-Texon,Cassey Cress,cassey@piedpiper.com,winston@j-texon.com,In Progress,GTX Plus Pro,589,2016-05-30 00:00:00,2016-09-01 00:00:00
124,Konmatfix,Lajuana Vencill,lajuana@piedpiper.com,ivana@konmatfix.com,Won,GTX Basic,560,2016-06-01 00:00:00,2016-06-14 00:00:00
125,Genco Pura Olive Oil Company,Marty Freudenburg,marty@piedpiper.com,karole@gencopuraoliveoilcompany.com,Won,GTX Plus Basic,1162,2016-06-03 00:00:00,2016-06-21 00:00:00
126,Codehow,Gladys Colclough,gladys@piedpiper.com,justine@codehow.com,Won,GTXPro,4438,2016-06-03 00:00:00,2016-12-06 00:00:00
127,Ron-tech,Lajuana Vencill,lajuana@piedpiper.com,kelly@ron-tech.com,Lost,MG Special,500,2016-06-03 00:00:00,2016-10-05 00:00:00
128,Gogozoom,Versie Hillebrand,versie@piedpiper.com,salina@gogozoom.com,Won,MG Advanced,2955,2016-06-03 00:00:00,2016-10-15 00:00:00
129,Gekko & Co,Hayden Neloms,hayden@piedpiper.com,krystle@gekko&co.com,In Progress,MG Advanced,1232,2016-06-04 00:00:00,2016-12-21 00:00:00
130,Silis,Violet Mclelland,violet@piedpiper.com,zulema@silis.com,Won,MG Advanced,3558,2016-06-05 00:00:00,2016-07-05 00:00:00
131,Rangreen,Lajuana Vencill,lajuana@piedpiper.com,darrel@rangreen.com,Won,GTX Basic,559,2016-06-07 00:00:00,2016-07-28 00:00:00
132,Konex,Vicki Laflamme,vicki@piedpiper.com,delila@konex.com,Won,MG Advanced,,2016-06-07 00:00:00,2016-07-02 00:00:00
133,Initech,Violet Mclelland,violet@piedpiper.com,alejandro@initech.com,Won,MG Special,64,2016-06-07 00:00:00,2016-11-10 00:00:00
134,dambase,Versie Hillebrand,versie@piedpiper.com,darwin@dambase.com,Won,MG Special,67,2016-06-08 00:00:00,2016-09-30 00:00:00
135,Warephase,Elease Gluck,elease@piedpiper.com,elisa@warephase.com,In Progress,GTK 500,5169,2016-06-08 00:00:00,2016-09-22 00:00:00
136,Groovestreet,Kami Bicknell,kami@piedpiper.com,natisha@groovestreet.com,Won,GTX Basic,441,2016-06-09 00:00:00,2016-07-23 00:00:00
137,Xx-holding,James Ascencio,james@piedpiper.com,shemeka@xx-holding.com,Won,GTXPro,4338,2016-06-10 00:00:00,2016-12-13 00:00:00
138,Labdrill,Zane Levy,zane@piedpiper.com,halley@labdrill.com,Won,GTX Plus Basic,1049,2016-06-12 00:00:00,2016-12-28 00:00:00
139,Silis,Kami Bicknell,kami@piedpiper.com,zulema@silis.com,In Progress,GTX Plus Basic,903,2016-06-13 00:00:00,2016-08-17 00:00:00
140,Finhigh,Daniell Hammack,daniell@piedpiper.com,mellie@finhigh.com,In Progress,GTX Plus Basic,487,2016-06-14 00:00:00,2016-10-29 00:00:00
141,Codehow,Jonathan Berthelot,jonathan@piedpiper.com,justine@codehow.com,Won,GTX Basic,517,2016-06-14 00:00:00,2016-12-22 00:00:00
142,Yearin,Garret Kinder,garret@piedpiper.com,vella@yearin.com,Won,GTX Basic,510,2016-06-16 00:00:00,2016-09-02 00:00:00
143,Fasehatice,Vicki Laflamme,vicki@piedpiper.com,hsiu@fasehatice.com,Won,GTXPro,3742,2016-06-17 00:00:00,2016-12-14 00:00:00
144,Isdom,Cecily Lampkin,cecily@piedpiper.com,corrinne@isdom.com,Won,MG Advanced,2955,2016-06-17 00:00:00,2016-08-26 00:00:00
145,Zotware,Rosie Papadopoulos,rosie@piedpiper.com,shella@zotware.com,Lost,MG Advanced,588,2016-06-18 00:00:00,2016-11-05 00:00:00
146,Condax,Kami Bicknell,kami@piedpiper.com,golda@condax.com,In Progress,GTXPro,3284,2016-06-18 00:00:00,2016-09-15 00:00:00
147,Domzoom,Daniell Hammack,daniell@piedpiper.com,tanja@domzoom.com,In Progress,GTX Basic,50,2016-06-20 00:00:00,2016-12-25 00:00:00
148,Fasehatice,Maureen Marcano,maureen@piedpiper.com,hsiu@fasehatice.com,Won,GTX Plus Basic,1185,2016-06-20 00:00:00,2016-12-25 00:00:00
149,Statholdings,Jonathan Berthelot,jonathan@piedpiper.com,verna@statholdings.com,Won,GTXPro,5406,2016-06-22 00:00:00,2016-10-26 00:00:00
150,Hatfan,Kary Hendrixson,kary@piedpiper.com,tyron@hatfan.com,Won,GTX Plus Basic,1046,2016-06-22 00:00:00,2016-09-03 00:00:00
151,Bubba Gump,Cassey Cress,cassey@piedpiper.com,margarito@bubbagump.com,In Progress,MG Advanced,1232,2016-06-23 00:00:00,2016-08-09 00:00:00
152,Zumgoity,Versie Hillebrand,versie@piedpiper.com,israel@zumgoity.com,Won,MG Special,60,2016-06-24 00:00:00,2016-07-06 00:00:00
153,Treequote,Cecily Lampkin,cecily@piedpiper.com,benny@treequote.com,Won,MG Advanced,3956,2016-06-24 00:00:00,2016-07-21 00:00:00
154,Gekko & Co,Corliss Cosme,corliss@piedpiper.com,krystle@gekko&co.com,Won,MG Advanced,3351,2016-06-24 00:00:00,2016-09-26 00:00:00
155,Condax,James Ascencio,james@piedpiper.com,golda@condax.com,Won,GTX Basic,437,2016-06-25 00:00:00,2016-12-21 00:00:00
156,Opentech,Boris Faz,boris@piedpiper.com,paola@opentech.com,Won,GTXPro,,2016-06-28 00:00:00,2016-08-23 00:00:00
157,Green-Plus,Maureen Marcano,maureen@piedpiper.com,lavone@green-plus.com,In Progress,GTX Basic,1037,2016-06-29 00:00:00,2016-12-18 00:00:00
158,Cheers,Elease Gluck,elease@piedpiper.com,robbie@cheers.com,Won,MG Special,58,2016-07-01 00:00:00,2016-07-18 00:00:00
159,Konex,Corliss Cosme,corliss@piedpiper.com,delila@konex.com,Won,GTX Basic,590,2016-07-01 00:00:00,2016-07-18 00:00:00
160,Umbrella Corporation,Daniell Hammack,daniell@piedpiper.com,orpha@umbrellacorporation.com,Won,GTXPro,4799,2016-07-02 00:00:00,2016-07-19 00:00:00
161,Vehement Capital Partners,Reed Clapper,reed@piedpiper.com,lavonia@vehementcapitalpartners.com,Won,MG Special,,2016-07-02 00:00:00,2016-11-16 00:00:00
162,Cancity,Moses Frase,moses@piedpiper.com,faviola@cancity.com,Won,GTX Plus Basic,1054,2016-07-03 00:00:00,2016-09-13 00:00:00
163,Finhigh,Jonathan Berthelot,jonathan@piedpiper.com,mellie@finhigh.com,Won,GTX Basic,543,2016-07-05 00:00:00,2016-10-23 00:00:00
164,Isdom,Anna Snelling,anna@piedpiper.com,corrinne@isdom.com,Won,MG Advanced,3246,2016-07-05 00:00:00,2016-09-13 00:00:00
165,Xx-holding,Vicki Laflamme,vicki@piedpiper.com,shemeka@xx-holding.com,Lost,GTX Plus Basic,3393,2016-07-06 00:00:00,2016-07-23 00:00:00
166,Bioholding,Versie Hillebrand,versie@piedpiper.com,bryan@bioholding.com,Won,MG Special,61,2016-07-07 00:00:00,2016-09-02 00:00:00
167,Ron-tech,Niesha Huffines,niesha@piedpiper.com,kelly@ron-tech.com,Won,GTX Basic,487,2016-07-07 00:00:00,2016-08-31 00:00:00
168,Zoomit,Markita Hansen,markita@piedpiper.com,laveta@zoomit.com,Won,GTX Plus Pro,5410,2016-07-07 00:00:00,2016-07-28 00:00:00
169,Fasehatice,Vicki Laflamme,vicki@piedpiper.com,hsiu@fasehatice.com,Won,MG Advanced,3803,2016-07-08 00:00:00,2016-09-30 00:00:00
170,Genco Pura Olive Oil Company,Boris Faz,boris@piedpiper.com,karole@gencopuraoliveoilcompany.com,In Progress,GTX Plus Pro,589,2016-07-09 00:00:00,2016-12-12 00:00:00
171,Hatfan,Rosalina Dieter,rosalina@piedpiper.com,tyron@hatfan.com,Lost,MG Special,1054,2016-07-11 00:00:00,2016-11-08 00:00:00
172,The New York Inquirer,Wilburn Farren,wilburn@piedpiper.com,hai@thenewyorkinquirer.com,Won,MG Advanced,3045,2016-07-13 00:00:00,2016-09-01 00:00:00
173,Xx-holding,Kami Bicknell,kami@piedpiper.com,shemeka@xx-holding.com,Won,GTX Basic,598,2016-07-13 00:00:00,2016-08-15 00:00:00
174,Massive Dynamic,Kami Bicknell,kami@piedpiper.com,gertrude@massivedynamic.com,In Progress,GTX Plus Basic,,2016-07-14 00:00:00,2016-11-08 00:00:00
